同花顺iFinD,399905.SZ
,中证500
日期,涨跌幅
2019-11-07,0.6499 
2019-11-08,-0.3749 
2019-11-11,-2.2480 
2019-11-12,0.1119 
2019-11-13,-0.1244 
2019-11-14,0.7500 
2019-11-15,-0.8890 
2019-11-18,0.4935 
2019-11-19,1.6894 
2019-11-20,-0.5796 
2019-11-21,-0.0113 
2019-11-22,-0.8419 
2019-11-25,-0.0526 
2019-11-26,-0.3946 
2019-11-27,0.4526 
2019-11-28,-0.3058 
2019-11-29,0.1162 
2019-12-02,0.2141 
2019-12-03,0.4288 
2019-12-04,-0.1175 
2019-12-05,0.9538 
2019-12-06,0.8638 
2019-12-09,0.2813 
2019-12-10,0.4866 
2019-12-11,-0.4312 
2019-12-12,-0.3039 
2019-12-13,1.2307 
2019-12-16,1.8202 
2019-12-17,1.3555 
2019-12-18,-0.0179 
2019-12-19,0.1263 
2019-12-20,-1.0886 
2019-12-23,-1.9350 
2019-12-24,1.5286 
2019-12-25,0.4074 
2019-12-26,0.6954 
2019-12-27,-0.7654 
2019-12-30,1.2115 
2019-12-31,0.4907 
2020-01-02,1.8694 
2020-01-03,0.2702 
2020-01-06,1.0076 
2020-01-07,1.1958 
2020-01-08,-1.3826 
2020-01-09,1.3597 
2020-01-10,-0.3150 
2020-01-13,1.4488 
2020-01-14,-0.3111 
2020-01-15,-0.2220 
2020-01-16,-0.0427 
2020-01-17,-0.3188 
2020-01-20,1.4064 
2020-01-21,-1.1381 
2020-01-22,0.9336 
2020-01-23,-3.5471 
2020-02-03,-8.6810 
2020-02-04,1.7425 
2020-02-05,2.5516 
2020-02-06,3.1017 
2020-02-07,0.8356 
2020-02-10,1.1526 
2020-02-11,-0.5040 
2020-02-12,1.8404 
2020-02-13,-0.8627 
2020-02-14,0.1471 
2020-02-17,3.2031 
2020-02-18,1.1865 
2020-02-19,-1.0167 
2020-02-20,1.8462 
2020-02-21,1.3549 
2020-02-24,1.4079 
2020-02-25,0.5499 
2020-02-26,-2.6168 
2020-02-27,0.1799 
2020-02-28,-5.2564 
2020-03-02,3.7630 
2020-03-03,0.9477 
2020-03-04,0.1136 
2020-03-05,1.4801 
2020-03-06,-0.6423 
2020-03-09,-4.1299 
2020-03-10,2.7018 
2020-03-11,-1.5080 
2020-03-12,-1.7112 
2020-03-13,-0.6677 
2020-03-16,-4.7110 
2020-03-17,0.2298 
2020-03-18,-1.7765 
2020-03-19,0.7491 
2020-03-20,1.1915 
2020-03-23,-4.2223 
2020-03-24,1.9430 
2020-03-25,2.3819 
2020-03-26,-0.9835 
2020-03-27,-0.5569 
2020-03-30,-2.1383 
2020-03-31,0.2778 
2020-04-01,-0.4410 
2020-04-02,2.5499 
2020-04-03,-0.7803 
2020-04-07,3.1336 
2020-04-08,0.0897 
2020-04-09,0.9611 
2020-04-10,-2.1409 
2020-04-13,-0.7552 
2020-04-14,2.3102 
2020-04-15,-0.3752 
2020-04-16,0.9152 
2020-04-17,0.0279 
2020-04-20,1.1908 
2020-04-21,-0.7043 
2020-04-22,0.8186 
2020-04-23,-0.5537 
2020-04-24,-1.5723 
2020-04-27,-0.1483 
2020-04-28,-0.7193 
2020-04-29,-0.0198 
2020-04-30,2.4307 
2020-05-06,1.8203 
2020-05-07,-0.1021 
2020-05-08,1.1375 
2020-05-11,-0.2089 
