Date,current (excess) stock rtn,Beta,Momentum_RSTR,ResidVol_DASTD,ResidVol_CMRA,ResidVol_HSIGMA,Growth_LQEG,Growth_LAEG,Growth_LQOPG,Growth_LAOPG,Growth_LQSG,Growth_LASG,EY_12m,Liquidity_1m,Liquidity_3m,Liquidity_12m,Size,PB
2021-04-12,0.17142548170051095,0.08699281947761764,0.051260810913393365,0.001074036404010165,0.16098158318535297,0.013491114882148337,0.10009411024615844,0.09904620235607053,0.08992285453082156,0.08785887526755501,0.14295196241458022,0.12966388670944085,0.13200232640886952,0.040986758740032055,0.05049701065188711,0.007014367234628248,0.11719036133249935,0.20253419325573685
2021-04-13,0.06226604074340212,0.35995613233516793,0.18609239955033216,0.32899251820320413,0.25344916411825424,0.3187941106544678,0.014703882096202232,0.01930931197785894,0.048385060085152976,0.0459272222672086,0.027193782925092537,0.0497873354762076,0.09850737029225792,0.04417190621631884,0.051024955862327394,0.07655981118031953,0.08788115915088619,0.2269283551597505
2021-04-14,0.09723995541055154,0.06596686600609324,0.03692919144291555,0.000625352080519524,0.0033846509143044966,0.008202848489849082,0.06525620595399424,0.028321198271112343,0.055484048771120106,0.038431971986659694,0.03530427004715456,0.01277225046841638,0.01669254416097081,0.10550690558559801,0.10948773578825233,0.08374906001198615,0.1291399744554931,0.014283034179456044
2021-04-15,0.02422425388008851,0.16448210748999845,0.2696589362298229,0.19384839777136736,0.015108371624338776,0.1579064011136822,0.15441082534164507,0.12138652877665965,0.172849415548676,0.13290735144907348,0.23001232840398944,0.23446649012105963,0.14108902097272377,0.1342319821741636,0.11730354409812334,0.11257373051329335,0.1399262537151438,0.1700435448754501
2021-04-16,0.07919538312471625,0.5184558652865345,0.1727581348420089,0.32677471999177254,0.3444363404689284,0.3180557201212398,0.05465568536569499,0.024951888997967724,0.07079661383127663,0.009527666116647822,0.10922316582874522,0.015976961951115518,0.18339156359498776,0.14986160261718595,0.18233240678024887,0.178049328469449,0.11074698437407902,0.3405590877854188
2021-04-19,0.11175048017798125,0.08131596556393213,0.1500846106085323,0.07483482705218615,0.00828381289680488,0.091449652827697,0.010574750613733199,0.05009041535536442,0.0008776526136668497,0.06268428051886335,0.02305944204158026,0.009519670179316148,0.08042679509876287,0.05046736236005346,0.0645233516046733,0.03162044508698915,0.009593615593701465,0.07854788194601282
2021-04-20,0.04743787671161401,0.05504583236286646,0.05222690209766162,0.08654841056376576,0.026520611189436247,0.05743779313935008,0.023757561796628072,0.014448235827411162,0.012659590840540478,0.0382496154694183,0.02209284552123609,0.061327790386758445,0.05462815121472811,0.08190759285857657,0.06636406950488703,0.03519649905692817,0.046066070836762014,0.15813517625168674
2021-04-21,0.09983914535649924,0.1344813565246171,0.09346164721866317,0.12099101057412229,0.06941757439138986,0.10387382483073733,0.07754932000952484,0.07803028123612624,0.09011784794016069,0.0719612851407148,0.05831223435165808,0.034702853960498006,0.012220236867771224,0.06908808777869173,0.08398871973805062,0.10528579199823286,0.017341655462112023,0.05288070475969233
2021-04-22,0.044007053367526194,0.13896172004716156,0.2825189771981774,0.15956859975368626,0.020054898567062548,0.15473959311524604,0.17073997283181822,0.061744555681014036,0.16889726998180096,0.07125825536968629,0.13912452708291223,0.11069697407019699,0.0686751908705681,0.067150345806674,0.07348929750645564,0.06325484974233965,0.14582805874292895,0.1830637777727193
2021-04-23,0.019618931173068035,0.015115442410776697,0.05315267964084464,0.0022123063778409233,0.026627328782036695,0.0068344893567272354,0.02329850434761158,0.05477853991342426,0.02493558793610034,0.046269100927701284,0.015391251599122593,0.009899056032494873,0.029232272741313597,0.15369875176289075,0.14147239323963617,0.10661899330598651,0.105212243185052,0.012703046388662717
2021-04-26,0.010148377676285585,0.0029294611716413925,0.1508317676180041,0.004053960952665477,0.13556987605539456,0.01653648469613069,0.056551775033302686,0.06342748105243412,0.0586753544415068,0.07996310454156144,0.031392916685874246,0.11593013184761902,0.013185393066187302,0.034022998729243366,0.05127114177149748,0.10033542219450244,0.07460805930812589,0.053614778918219544
2021-04-27,0.13354987502720214,0.01482085484983676,0.08509328133300509,0.1033763234538454,0.03504503480196092,0.10849312205057984,0.04331289851251827,0.0737429256642086,0.0739174701055426,0.10176307733499643,0.07251587164881078,0.12852147471566425,0.08846736291043843,0.05020072280543549,0.0344147654795073,0.006940974233124004,0.018408332420687006,0.10494594034950427
2021-04-28,0.1658384644911535,0.10094460604758543,0.09445119109708645,0.13289352711689498,0.04101951556608994,0.13618793968752438,0.08120727720021932,0.04154848705824279,0.06840260227356472,0.01854213532648677,0.09339837890823893,0.008213405348094185,0.12083308349850999,0.06075019632619064,0.08474111432835942,0.08159613852131706,0.04878828863830579,0.15570679411119753
2021-04-29,0.18359823307870554,0.0181056302460239,0.13367596875750493,0.0786607498270313,0.02217069556131854,0.08818527983341308,0.13336100938604634,0.04864481053176413,0.1256448814910525,0.03798556116550269,0.17357180525103494,0.013678884164721707,0.1698687024081297,0.10899454657281513,0.08968994301426544,0.03316505194247987,0.01594769922372894,0.17570360214594138
2021-04-30,0.14297245842149967,0.04280420303476416,0.08131035932819028,0.08463287804437288,0.1507505539535785,0.0642672120335613,0.18354429642387485,0.11160148320411777,0.18098226371960505,0.1190161519495212,0.02353035220614627,0.161511395678155,0.201079470169646,0.10957232431053239,0.12864401061402886,0.02809162493997019,0.18908029326656484,0.2625188022144733
