Date,current (excess) stock rtn,Beta,Momentum_RSTR,ResidVol_DASTD,ResidVol_CMRA,ResidVol_HSIGMA,Growth_LQEG,Growth_LAEG,Growth_LQOPG,Growth_LAOPG,Growth_LQSG,Growth_LASG,EY_12m,Liquidity_1m,Liquidity_3m,Liquidity_12m,Size,PB
2021-03-11,0.07774908306666004,0.2248043906522104,0.04872697358528878,0.13268040633869901,0.21186346688010624,0.11746227752972652,0.0038515756415009117,0.004748749799704043,0.012631706655303198,0.004124751203134855,0.006856202166880493,0.018195382280930414,0.17905477440066822,0.12617011421965282,0.14537708391395837,0.12413850798137714,0.04689094835156096,0.21719045814921184
2021-03-12,0.07701111925940163,0.2768262518564112,0.3099008048547317,0.2818398057611049,0.3704942109774402,0.29267749189130876,0.3701115650840777,0.009034785560659623,0.3682454831020811,0.004232235910045936,0.3122717972262719,0.042056198922475356,0.08748353162122571,0.09497053558430395,0.14936680143278586,0.048060399315772315,0.3312684649722316,0.47530673201573664
2021-03-15,0.14315984056061049,0.19841610088648076,0.06496579848188533,0.1580806642595557,0.0703760776051066,0.12226210889940929,0.041045192941130154,0.029083121286149517,0.030759588739036153,0.02376159329537525,0.08720184637592289,0.09725704966192847,0.11422368707019649,0.0891504005158091,0.11949765681405668,0.19222652820495365,0.07916566760457783,0.0011204809236131763
2021-03-16,0.13317344591655061,0.35018652961944857,0.36519440233106976,0.3009930976095268,0.34315916399958857,0.2897871309665302,0.16737860362385243,0.013278411116539776,0.17659988646779898,0.011435558036116648,0.13097027940218509,0.025371670323617614,0.2621796401663712,0.14587103691783526,0.1810061550939778,0.10933598424454127,0.0648869238536095,0.4137178983301115
2021-03-17,0.06900615701380788,0.004702571841072383,0.3154463619208431,0.14756324097796167,0.005400581335271834,0.13689735816604615,0.10593833640412383,0.03616385447210446,0.125220703867901,0.035909572850351755,0.0505094632453435,0.016775283908161073,0.005809637504576603,0.04058830651748662,0.02987236133543309,0.07452186476456368,0.1070342799778724,0.17514338854417477
2021-03-18,0.05161691687734018,0.21686499513096447,0.16957688458524778,0.21680175647360236,0.0107762129383681,0.1966079293602702,0.055742101835536885,0.06823829780387697,0.049497758992319375,0.062100569839383196,0.06308035679739755,0.1283596926293893,0.05155462895972288,0.01867338298243093,0.007648058993838167,0.016830723182987124,0.15949908252608563,0.08671220354437406
2021-03-19,0.041562347804060075,0.07805604388165542,0.05005065793780286,0.07411587783707987,0.00018164550075712942,0.0585965433671587,0.06058451869150427,0.10345031878670001,0.049672946594238016,0.09114463314843212,0.028540291154937045,0.17414549498242787,0.15844669569226774,0.09942588200888149,0.09907140346992482,0.06911046256126435,0.062111866434854446,0.0020739661946081655
2021-03-22,0.015356801032898626,0.14474735083048704,0.16363890054577762,0.3125926157540715,0.08329992882634421,0.297504361908196,0.0832963245308037,0.02244266960015526,0.08125539197166105,0.015994544541380946,0.08304489476371978,0.05171031969542453,0.03233888142318791,0.053297695468356915,0.039120496108700255,0.12440524682004162,0.03670173117924745,0.03538725700344342
2021-03-23,0.22807261223211514,0.3407470955103598,0.3914459677167679,0.40217720146600233,0.16229308962646843,0.3743283892249088,0.09387636007858716,0.08730677104879887,0.06525428313958172,0.07987545521533937,0.02022974069215175,0.09354781162829988,0.10052908183164509,0.052868793572944085,0.052554516013082385,0.0792821430615971,0.0856452333525337,0.18936265385924067
2021-03-24,0.2511292132057367,0.14486182015575666,0.13507657625583042,0.10049459218428147,0.1672253823288463,0.08908167551406246,0.022413652459112803,0.06730748912546634,0.01157755846961389,0.06571976934665294,0.031261523393759705,0.021465078240316786,0.15384213536737049,0.03341834913088241,0.05699791783721066,0.023310760778684683,0.0029985669857569125,0.20294367384834627
2021-03-25,0.03170639105593967,0.4186999590378966,0.4470855014458691,0.510620885647922,0.29143668245426113,0.48517450317756383,0.0887221933743774,0.0699363047301271,0.10282895486675339,0.05974323741810522,0.05777860127652096,0.05799595821240377,0.0984208507654046,0.1196478767827895,0.1566547575037191,0.13774793520121437,0.11360999279853223,0.3418325668767055
2021-03-26,0.07971223678544602,0.00809545893602416,0.1884541011726362,0.11129565681388733,0.07656931699947052,0.08496030004447731,0.019798394678813825,0.010350416622721114,0.021385313466600494,0.011776115487107315,0.04781357572660185,0.07926910939460567,0.07194904566347306,0.0726909115768097,0.060998601983718224,0.020337653091145914,0.01801625413240096,0.060547868338458925
2021-03-29,0.09343009383555897,0.22324224997704745,0.3533157922451139,0.23164235730256752,0.10747636804654148,0.2046324423350651,0.07585190366168068,0.03280324102277774,0.0941175856027786,0.045120275023723413,0.21464258883490941,0.06703581831694541,0.1422863157998856,0.10595622700550929,0.10366443603381713,0.0562386095889641,0.13662938647102937,0.25217197325840457
2021-03-30,0.34188879926521154,0.32903615356303373,0.303874055461713,0.31143820101423336,0.13462389759096463,0.28919967455883094,0.0946322035172638,0.010081099549308982,0.09074514627569451,0.027416925433046066,0.11022228164221226,0.028605067787207197,0.14779843805079754,0.1279291826119893,0.1428984910883778,0.10300881816965418,0.10136101109682008,0.19956388704872752
2021-03-31,0.22253783209767858,0.20742078083776733,0.12478047179340908,0.18095360461319018,0.17440568884690774,0.17868649197048692,0.030871468156191635,0.05273241774270721,0.03399386417771342,0.04172010390957126,0.04111252766962059,0.015550327535342169,0.08385715265697001,0.03370994130421259,0.04445218805582806,0.049810610511275985,0.05455133805355149,0.08844241776734822
